frame,detected,x,y,z,t_grab,t_total,t_prepare,t_search,t_approx,t_refine,t_estimate
378,1,-141.052,-141.052,-141.052,142,76,44,24,1,2,3
379,0,-141.052,-141.052,-141.052,142,69,43,24,0,0,0
380,0,-141.052,-141.052,-141.052,144,70,43,24,0,0,0
381,0,-141.052,-141.052,-141.052,145,71,43,26,0,0,0
382,0,-141.052,-141.052,-141.052,143,72,43,27,0,0,0
383,0,-141.052,-141.052,-141.052,142,73,43,27,0,0,0
384,0,-141.052,-141.052,-141.052,145,70,43,25,0,0,0
385,0,-141.052,-141.052,-141.052,144,72,43,27,0,0,0
386,0,-141.052,-141.052,-141.052,144,70,43,25,0,0,0
387,0,-141.052,-141.052,-141.052,144,69,43,24,0,0,0
388,0,-141.052,-141.052,-141.052,146,70,44,24,0,0,0
389,0,-141.052,-141.052,-141.052,144,78,44,32,0,0,0
390,0,-141.052,-141.052,-141.052,143,71,44,25,0,0,0
391,1,-105.874,-105.874,-105.874,144,92,44,36,0,2,7
392,1,-96.8972,-96.8972,-96.8972,145,78,43,27,0,3,3
393,1,-91.9798,-91.9798,-91.9798,141,77,43,26,1,2,3
394,1,-88.0271,-88.0271,-88.0271,144,87,43,36,1,2,3
395,1,-83.4375,-83.4375,-83.4375,141,77,43,25,1,2,3
396,1,-77.3083,-77.3083,-77.3083,141,90,43,36,1,2,6
397,1,-69.5389,-69.5389,-69.5389,141,92,43,37,1,2,7
398,1,-61.528,-61.528,-61.528,138,77,43,26,1,2,3
399,1,-52.5369,-52.5369,-52.5369,142,88,42,35,1,2,6
400,1,-47.4469,-47.4469,-47.4469,144,79,43,28,1,2,3
401,1,-47.0491,-47.0491,-47.0491,153,84,43,32,1,3,3
402,1,-47.2592,-47.2592,-47.2592,151,93,43,38,1,4,5
403,1,-43.1097,-43.1097,-43.1097,146,80,43,28,1,2,3
404,1,-39.6854,-39.6854,-39.6854,147,86,43,35,1,2,3
405,1,-33.9562,-33.9562,-33.9562,147,80,43,29,1,2,3
406,1,-23.9862,-23.9862,-23.9862,149,84,43,29,1,3,6
407,1,-14.3391,-14.3391,-14.3391,146,82,43,30,1,2,4
408,1,-5.69438,-5.69438,-5.69438,148,86,44,29,1,2,8
409,1,3.95219,3.95219,3.95219,149,85,44,29,1,2,6
410,1,13.0886,13.0886,13.0886,149,80,43,29,1,2,3
411,1,24.4213,24.4213,24.4213,149,80,43,28,1,3,3
412,1,30.4067,30.4067,30.4067,143,79,44,27,1,2,3
413,1,36.5589,36.5589,36.5589,151,82,43,28,1,2,6
414,1,40.0075,40.0075,40.0075,149,82,44,27,1,3,5
415,1,43.7977,43.7977,43.7977,148,82,43,28,1,2,6
416,1,50.371,50.371,50.371,151,80,43,27,1,3,4
417,1,61.4546,61.4546,61.4546,151,82,43,29,0,3,4
418,1,69.255,69.255,69.255,148,85,43,33,1,2,4
